username,arm,session,gender,age,stem_education_years,english_proficiency,social_closeness,presurvey_trust_2,presurvey_risk_3,presurvey_control_1,presurvey_risk_2,presurvey_trust_1,presurvey_risk_1,presurvey_control_3,presurvey_trust_3,presurvey_control_2,postsurvey_control_2,postsurvey_risk_1,postsurvey_trust_3,postsurvey_risk_2,postsurvey_trust_1,postsurvey_control_3,postsurvey_trust_2,postsurvey_control_1,postsurvey_risk_3
user0011,control,01,Male,25,5,High,1,100,91,70,50,85,67,100,75,81,88,100,68,100,91,100,95,21,87
user0012,control,01,Male,26,5,High,1,54,64,64,65,56,57,65,63,67,67,64,23,63,67,62,69,87,75
user0013,control,01,Male,24,4,Medium-High,1,50,36,59,28,79,38,77,78,100,100,12,8,83,83,86,5,13,14
user0014,control,01,Male,27,5,High,1,67,43,56,50,57,52,45,54,55,68,34,58,58,70,50,57,68,27
user0015,treatment,01,Male,29,10,Fluent/Native,2,22,6,14,70,34,57,100,72,50,65,95,5,58,66,100,2,30,91
user0016,treatment,01,Male,32,7,Fluent/Native,3,58,65,66,100,71,68,31,32,69,89,85,13,66,67,28,32,68,79
user0017,treatment,01,Male,33,12,High,4,26,18,15,16,87,21,78,82,65,59,34,6,5,98,85,0,79,65
user0018,treatment,01,Male,26,6,Medium-High,4,92,1,95,46,95,11,87,94,92,88,9,0,100,93,98,18,94,88
user0019,treatment,02,Male,24,graduate,High,4,82,25,98,82,93,66,96,32,93,100,3,0,14,100,100,0,80,100
user0020,treatment,02,Female,21,5,High,3,78,77,41,43,53,46,45,53,54,60,60,42,60,59,54,56,45,55
user0021,treatment,02,Male,29,7,High,5,100,80,50,22,82,36,68,97,78,99,38,10,17,92,92,18,32,81
user0022,treatment,02,Female,26,5,High,4,52,53,48,57,54,54,56,53,55,72,36,32,67,65,54,36,44,50
user0023,control,02,Female,31,6,High,1,35,78,63,78,38,40,67,37,38,17,27,46,80,35,64,33,58,64
user0024,control,02,Male,38,10,High,1,33,72,43,35,70,82,38,50,38,67,76,50,81,50,93,18,26,73
user0025,control,02,Male,28,8,High,1,74,86,56,33,76,59,84,79,91,85,31,21,66,80,89,87,26,94
