arm,session,round,username_1,username_2,task_1,task_2,design_1,design_2,strategy_1,strategy_2,collabBelief_1,collabBelief_2,usedRobot_1,usedRobot_2,score_1,score_2
control,01,1,user0011,user0012,6,1,M,M,C,C,72,79,false,false,122,122
control,01,2,user0011,user0012,0,13,Y,L,I,C,83,60,false,false,50,-85
control,01,3,user0011,user0012,20,2,Y,L,I,C,50,70,false,false,50,-28
control,01,4,user0011,user0012,15,4,K,K,C,C,100,75,false,false,105,100
control,01,5,user0011,user0012,3,25,L,Y,C,I,0,60,false,false,11,50
control,01,6,user0011,user0012,12,8,Y,K,I,C,50,71,false,false,50,-18
control,01,7,user0011,user0012,9,21,M,L,C,C,100,69,false,false,72,107
control,01,8,user0011,user0012,18,14,Y,M,I,C,77,71,false,false,50,-40
control,01,9,user0011,user0012,22,26,M,K,C,C,21,70,false,false,114,107
control,01,10,user0011,user0012,8,12,Y,Y,I,I,89,11,false,false,50,50
control,01,11,user0011,user0012,4,15,K,L,C,C,69,69,false,false,100,115
control,01,12,user0011,user0012,14,18,Y,Y,I,I,50,14,false,false,50,50
control,01,13,user0011,user0012,11,29,K,L,C,C,100,68,false,false,107,88
control,01,14,user0011,user0012,17,28,Y,Y,I,I,100,25,false,false,50,50
control,01,15,user0011,user0012,13,0,K,M,C,C,100,63,false,false,82,115
control,01,16,user0011,user0012,25,3,Y,M,I,C,100,64,false,false,50,-19
control,01,17,user0011,user0012,7,27,Y,Y,I,I,100,39,false,false,50,50
control,01,18,user0011,user0012,19,5,Y,Y,I,I,100,29,false,false,50,50
control,01,19,user0011,user0012,5,19,K,M,C,C,100,61,false,false,115,100
control,01,20,user0011,user0012,23,16,Y,K,I,C,100,63,false,false,50,-122
control,01,21,user0011,user0012,24,10,Y,Y,I,I,37,68,false,false,50,50
control,01,22,user0011,user0012,10,24,Y,Y,I,I,82,22,false,false,50,50
control,01,23,user0011,user0012,29,11,L,K,C,C,25,77,false,false,88,107
control,01,24,user0011,user0012,1,6,M,M,C,C,100,60,false,false,122,122
