task_index,paired_task_index,V_A_CC,V_A_CI,V_B_CC,V_B_CI,V_C_CC,V_C_CI,V_Y_IC,V_Y_II,task_difficulty,payoff_magnitude
0,13,130,-48,115,-27,105,-17,50,50,1,5
1,6,122,-37,107,-20,96,-7,50,50,1,4
2,20,114,-28,100,-11,88,3,50,50,1,3
3,25,106,-19,95,-4,82,11,50,50,1,2
4,15,100,-9,88,4,72,23,50,50,1,1
5,19,130,-70,115,-48,105,-33,50,50,2,5
6,1,122,-60,107,-36,96,-20,50,50,2,4
7,27,114,-46,100,-25,88,-8,50,50,2,3
8,12,106,-35,95,-18,82,2,50,50,2,2
9,21,100,-25,88,-7,72,17,50,50,2,1
10,24,130,-140,115,-105,105,-80,50,50,3,5
11,29,122,-120,107,-85,96,-59,50,50,3,4
12,8,114,-100,100,-67,88,-40,50,50,3,3
13,0,106,-85,95,-55,82,-25,50,50,3,2
14,18,100,-68,88,-40,72,-2,50,50,3,1
15,4,130,-190,115,-145,105,-116,50,50,4,5
16,23,122,-170,107,-122,96,-90,50,50,4,4
17,28,114,-142,100,-100,88,-65,50,50,4,3
18,14,106,-118,95,-85,82,-46,50,50,4,2
19,5,100,-68,88,-65,72,-16,50,50,4,1
20,2,130,-270,115,-210,105,-170,50,50,5,5
21,9,122,-240,107,-180,96,-136,50,50,5,4
22,26,114,-210,100,-150,88,-102,50,50,5,3
23,16,106,-175,95,-130,82,-80,50,50,5,2
24,10,100,-150,88,-105,72,-40,50,50,5,1
25,3,130,-400,115,-310,105,-250,50,50,6,5
26,22,122,-350,107,-280,96,-205,50,50,6,4
27,7,114,-300,100,-230,88,-170,50,50,6,3
28,17,106,-270,95,-200,82,-138,50,50,6,2
29,11,100,-230,88,-165,72,-75,50,50,6,1
30,30,95,15,85,10,75,5,115,25,n/a,n/a
31,31,85,0,75,5,65,10,100,20,n/a,n/a
32,32,80,5,70,10,60,20,90,17,n/a,n/a
33,33,65,0,55,5,45,10,80,16,n/a,n/a
34,34,60,0,50,5,40,10,75,15,n/a,n/a
35,35,55,0,45,5,35,10,70,14,n/a,n/a
