timestamp,username,partner,task,design,strategy,collabBelief,usedRobot, score,partnerScore
1682363735179,user0023,user0024,Training Task 1,Design M,collaborative,77, false, null, null
1682363738043,user0025,user0026,Training Task 1,Design M,collaborative,50, false, null, null
1682363763052,user0024,user0023,Training Task 1,Design M,collaborative,90, false, 111, 111
1682363789341,user0026,user0025,Training Task 1,Design M,collaborative,78, false, 111, 111
1682363814533,user0023,user0024,Training Task 2,Design K,collaborative,58, false, null, null
1682363833630,user0026,user0025,Training Task 2,Design K,collaborative,94, false, null, null
1682363855564,user0024,user0023,Training Task 2,Design K,collaborative,88, false, 95, 95
1682363894009,user0025,user0026,Training Task 2,Design K,collaborative,50, false, 95, 95
1682363938661,user0026,user0025,Training Task 3,Design Y,individual,0, false, null, null
1682363944398,user0025,user0026,Training Task 3,Design Y,individual,50, false, 19, 19
1682364013567,user0024,user0023,Training Task 3,Design L,collaborative,98, false, null, null
1682364035245,user0023,user0024,Training Task 3,Design L,collaborative,40, false, 68, 68
1682364098710,user0024,user0023,Training Task 4,Design M,collaborative,96, false, null, null
1682364105732,user0023,user0024,Training Task 4,Design M,collaborative,58, false, 128, 128
1682364147716,user0026,user0025,Training Task 4,Design K,collaborative,0, false, null, null
1682364160293,user0025,user0026,Training Task 4,Design Y,individual,50, false, 50, -120
1682364186924,user0023,user0024,Task Washington,Design M,collaborative,63, false, null, null
1682364194969,user0025,user0026,Task Colorado,Design K,collaborative,50, false, null, null
1682364202909,user0024,user0023,Task Pennsylvania,Design M,collaborative,92, false, 122, 122
1682364214044,user0026,user0025,Task New York,Design K,collaborative,94, false, 82, 130
1682364231594,user0023,user0024,Task Colorado,Design K,collaborative,71, false, null, null
1682364243048,user0025,user0026,Task Alabama,Design Y,individual,50, false, null, null
1682364243628,user0024,user0023,Task New York,Design L,collaborative,94, false, 106, 130
1682364248940,user0026,user0025,Task Louisiana,Design Y,individual,53, false, 50, 50
1682364271279,user0024,user0023,Task Louisiana,Design L,collaborative,97, false, null, null
1682364282164,user0026,user0025,Task Florida,Design L,collaborative,31, false, null, null
1682364285322,user0025,user0026,Task Florida,Design K,collaborative,50, false, 85, 65
1682364303987,user0023,user0024,Task Alabama,Design K,collaborative,2, false, 130, 114
1682364324403,user0023,user0024,Task Florida,Design K,collaborative,28, false, null, null
