timestamp,username,partner,task,design,strategy,collabBelief,usedRobot, score,partnerScore
1681932184850,user0012,user0011,Training Task 1,Design L,collaborative,64, false, null, null
1681932266742,user0011,user0012,Training Task 1,Design Y,individual,88, false, 50, -15
1681932290169,user0014,user0013,Training Task 1,Design M,collaborative,70, false, null, null
1681932300552,user0013,user0014,Training Task 1,Design K,collaborative,26, false, 92, 111
1681932411488,user0013,user0014,Training Task 2,Design Y,individual,100, false, null, null
1681932412721,user0011,user0012,Training Task 2,Design L,collaborative,100, false, null, null
1681932418424,user0012,user0011,Training Task 2,Design L,collaborative,68, false, 68, 68
1681932422306,user0014,user0013,Training Task 2,Design Y,individual,21, false, 50, 50
1681932465963,user0012,user0011,Training Task 3,Design Y,individual,39, false, null, null
1681932470927,user0011,user0012,Training Task 3,Design Y,individual,94, false, 19, 19
1681932485223,user0014,user0013,Training Task 3,Design Y,individual,28, false, null, null
1681932496451,user0013,user0014,Training Task 3,Design L,collaborative,39, false, 3, 83
1681932577466,user0012,user0011,Training Task 4,Design L,collaborative,56, false, null, null
1681932628886,user0013,user0014,Training Task 4,Design M,collaborative,78, false, null, null
1681932629683,user0011,user0012,Training Task 4,Design L,collaborative,82, false, 110, 110
1681932648546,user0014,user0013,Training Task 4,,undefined,26, false, null, null
1681932719340,user0013,user0014,Task Colorado,Design K,collaborative,94, false, null, null
1681932724050,user0014,user0013,Task New York,Design L,collaborative,76, false, 106, 130
1681932739871,user0012,user0011,Task Pennsylvania,Design M,collaborative,79, false, null, null
1681932744665,user0011,user0012,Task Washington,Design M,collaborative,72, false, 122, 122
1681932808585,user0013,user0014,Task Alabama,Design L,collaborative,74, false, null, null
1681932821827,user0014,user0013,Task Louisiana,Design Y,individual,29, false, 50, -170
1681932824884,user0011,user0012,Task Colorado,Design Y,individual,83, false, null, null
1681932829459,user0012,user0011,Task New York,Design L,collaborative,60, false, -85, 50
1681932885318,user0014,user0013,Task Florida,,undefined,94, false, null, null
1681932893664,user0013,user0014,Task Florida,Design K,collaborative,100, false, null, null
1681932931371,user0012,user0011,Task Louisiana,Design L,collaborative,70, false, null, null
1681932932982,user0011,user0012,Task Alabama,Design Y,individual,50, false, 50, -28
1681933003726,user0011,user0012,Task Florida,Design Y,individual,100, false, null, null
1681933003844,user0012,user0011,Task Florida,Design Y,individual,21, false, 20, 20
1681933030347,user0013,user0014,Task Alaska,Design Y,individual,78, false, null, null
1681933034397,user0014,user0013,Task Maryland,Design Y,individual,2, false, 50, 50
1681933089379,user0013,user0014,Task Delaware,Design L,collaborative,83, false, null, null
1681933095733,user0014,user0013,Task Wyoming,Design Y,individual,6, false, 50, 11
1681933102498,user0011,user0012,Task Alaska,Design K,collaborative,100, false, null, null
1681933103483,user0012,user0011,Task Maryland,Design K,collaborative,75, false, 100, 105
1681933163725,user0014,user0013,Task Oklahoma,Design L,collaborative,89, false, null, null
1681933165032,user0013,user0014,Task North Carolina,Design M,collaborative,85, false, 114, 82
1681933189611,user0011,user0012,Task Delaware,Design L,collaborative,0, false, null, null
1681933192831,user0012,user0011,Task Wyoming,Design Y,individual,60, false, 50, 11
1681933262010,user0013,user0014,Task Hawaii,Design M,collaborative,75, false, null, null
1681933265627,user0012,user0011,Task Oklahoma,Design K,collaborative,71, false, null, null
1681933267279,user0011,user0012,Task North Carolina,Design Y,individual,50, false, 50, -18
1681933268146,user0014,user0013,Task California,Design Y,individual,7, false, 50, 17
1681933339958,user0013,user0014,Task Tennessee,Design M,collaborative,78, false, null, null
1681933342318,user0014,user0013,Task Texas,Design Y,individual,3, false, 50, -85
1681933345269,user0012,user0011,Task California,Design L,collaborative,69, false, null, null
1681933346396,user0011,user0012,Task Hawaii,Design M,collaborative,100, false, 72, 107
1681933410923,user0013,user0014,Task Kentucky,Design L,collaborative,76, false, null, null
1681933415454,user0014,user0013,Task Ohio,Design Y,individual,6, false, 50, -150
1681933422436,user0012,user0011,Task Texas,Design M,collaborative,71, false, null, null
1681933422438,user0011,user0012,Task Tennessee,Design Y,individual,77, false, 50, -40
1681933464138,user0013,user0014,Task  Montana,Design L,collaborative,80, false, null, null
1681933468403,user0014,user0013,Task  Montana,Design L,collaborative,98, false, 60, 60
1681933491929,user0012,user0011,Task Ohio,Design K,collaborative,70, false, null, null
1681933497890,user0011,user0012,Task Kentucky,Design M,collaborative,21, false, 114, 107
1681933528528,user0011,user0012,Task  Montana,Design Y,individual,100, false, null, null
1681933529228,user0012,user0011,Task  Montana,Design Y,individual,21, false, 15, 15
1681933545126,user0013,user0014,Task Oklahoma,Design L,collaborative,78, false, null, null
1681933545860,user0014,user0013,Task North Carolina,Design M,collaborative,96, false, 114, 82
1681933593128,user0013,user0014,Task Maryland,Design Y,individual,82, false, null, null
1681933595168,user0011,user0012,Task Oklahoma,Design Y,individual,89, false, null, null
1681933596531,user0014,user0013,Task Alaska,Design Y,individual,2, false, 50, 50
