timestamp,username,partner,task,design,strategy,collabBelief,usedRobot, score,partnerScore
1683145294576,user0055,user0056,Training Task 1,Design M,collaborative,92, true, null, null
1683145299135,user0056,user0055,Training Task 1,Design M,collaborative,85, true, 111, 111
1683145376296,user0057,user0058,Training Task 1,Design M,collaborative,77, false, null, null
1683145406178,user0058,user0057,Training Task 1,Design M,collaborative,99, false, 111, 111
1683145470909,user0055,user0056,Training Task 2,Design K,collaborative,94, true, null, null
1683145486164,user0056,user0055,Training Task 2,Design K,collaborative,96, true, 95, 95
1683145487406,user0057,user0058,Training Task 2,Design K,collaborative,92, true, null, null
1683145489886,user0058,user0057,Training Task 2,Design K,collaborative,100, false, 95, 95
1683145515194,user0056,user0055,Training Task 3,Design Y,individual,1, true, null, null
1683145524515,user0057,user0058,Training Task 3,Design Y,individual,17, true, null, null
1683145524886,user0058,user0057,Training Task 3,Design Y,individual,0, false, 19, 19
1683145543196,user0055,user0056,Training Task 3,Design M,collaborative,0, true, 13, 83
1683145570266,user0057,user0058,Training Task 4,Design M,collaborative,96, false, null, null
1683145572524,user0058,user0057,Training Task 4,Design M,collaborative,100, false, 128, 128
1683145587315,user0056,user0055,Training Task 4,Design M,collaborative,96, false, null, null
1683145587563,user0055,user0056,Training Task 4,Design M,collaborative,80, false, 128, 128
1683145672337,user0055,user0056,Task Washington,Design M,collaborative,92, true, null, null
1683145672890,user0056,user0055,Task Pennsylvania,Design M,collaborative,93, false, 122, 122
1683145678574,user0058,user0057,Task New York,Design L,collaborative,100, false, null, null
1683145680367,user0057,user0058,Task Colorado,Design K,collaborative,91, true, 130, 106
1683145701287,user0058,user0057,Task Louisiana,Design L,collaborative,100, false, null, null
1683145707636,user0057,user0058,Task Alabama,Design K,collaborative,100, true, 130, 114
1683145721221,user0056,user0055,Task New York,Design M,collaborative,93, false, null, null
1683145722831,user0055,user0056,Task Colorado,Design K,collaborative,99, true, 130, 95
1683145747168,user0057,user0058,Task Florida,Design Y,individual,0, false, null, null
1683145750121,user0058,user0057,Task Florida,Design Y,individual,0, false, 20, 20
1683145750702,user0056,user0055,Task Louisiana,Design L,collaborative,91, false, null, null
1683145752282,user0055,user0056,Task Alabama,Design K,collaborative,100, false, 130, 114
1683145777228,user0057,user0058,Task Alaska,Design M,collaborative,97, true, null, null
1683145787274,user0058,user0057,Task Maryland,Design K,collaborative,100, false, 100, 130
1683145803169,user0056,user0055,Task Florida,Design Y,individual,9, false, null, null
1683145804448,user0055,user0056,Task Florida,Design L,collaborative,50, false, 10, 100
1683145820843,user0056,user0055,Task Maryland,Design K,collaborative,87, false, null, null
1683145832947,user0058,user0057,Task Wyoming,Design K,collaborative,100, false, null, null
1683145833818,user0055,user0056,Task Alaska,Design M,collaborative,100, true, 130, 100
1683145837201,user0057,user0058,Task Delaware,Design M,collaborative,100, true, 106, 130
1683145856469,user0057,user0058,Task North Carolina,Design M,collaborative,98, false, null, null
1683145859064,user0058,user0057,Task Oklahoma,Design M,collaborative,100, false, 106, 114
1683145862147,user0055,user0056,Task Delaware,Design M,collaborative,100, false, null, null
1683145871556,user0056,user0055,Task Wyoming,Design K,collaborative,79, false, 130, 106
1683145888709,user0056,user0055,Task Oklahoma,Design M,collaborative,86, false, null, null
1683145889497,user0055,user0056,Task North Carolina,Design M,collaborative,100, false, 114, 106
1683145894250,user0058,user0057,Task California,Design K,collaborative,100, false, null, null
1683145896655,user0057,user0058,Task Hawaii,Design L,collaborative,98, true, 100, 122
1683145911561,user0058,user0057,Task Texas,Design K,collaborative,100, false, null, null
1683145917171,user0056,user0055,Task California,Design K,collaborative,88, false, null, null
1683145917476,user0055,user0056,Task Hawaii,Design L,collaborative,100, false, 100, 122
1683145918969,user0057,user0058,Task Tennessee,Design K,collaborative,98, false, 106, 100
1683145933094,user0058,user0057,Task Ohio,Design M,collaborative,100, false, null, null
1683145937115,user0055,user0056,Task Tennessee,Design K,collaborative,100, false, null, null
1683145941870,user0056,user0055,Task Texas,Design K,collaborative,89, false, 100, 106
1683145944126,user0057,user0058,Task Kentucky,Design M,collaborative,99, false, 114, 122
1683145963778,user0055,user0056,Task Kentucky,Design M,collaborative,100, false, null, null
1683145966827,user0056,user0055,Task Ohio,Design M,collaborative,84, false, 122, 114
1683145984603,user0058,user0057,Task  Montana,Design Y,individual,100, false, null, null
1683145989325,user0057,user0058,Task  Montana,Design Y,individual,8, false, 15, 15
1683146004513,user0057,user0058,Task Oklahoma,Design M,collaborative,97, false, null, null
