timestamp,username,partner,task,design,strategy,collabBelief,usedRobot, score,partnerScore
1683221801212,user0062,user0061,Training Task 1,Design M,collaborative,76, false, null, null
1683221843447,user0059,user0060,Training Task 1,Design K,collaborative,72, false, null, null
1683221850724,user0061,user0062,Training Task 1,Design M,collaborative,96, false, 111, 111
1683221851296,user0060,user0059,Training Task 1,Design M,collaborative,85, true, 111, 92
1683221869076,user0060,user0059,Training Task 2,Design K,collaborative,81, false, null, null
1683221878721,user0062,user0061,Training Task 2,Design K,collaborative,71, false, null, null
1683221914631,user0061,user0062,Training Task 2,Design K,collaborative,98, true, 95, 95
1683221938729,user0059,user0060,Training Task 2,Design K,collaborative,68, false, 95, 95
1683221963351,user0060,user0059,Training Task 3,Design L,collaborative,80, false, null, null
1683221965080,user0059,user0060,Training Task 3,Design L,collaborative,82, false, 68, 68
1683222027109,user0062,user0061,Training Task 3,Design L,collaborative,87, false, null, null
1683222029514,user0061,user0062,Training Task 3,Design L,collaborative,100, false, 68, 68
1683222045569,user0060,user0059,Training Task 4,Design M,collaborative,72, false, null, null
1683222046164,user0059,user0060,Training Task 4,Design M,collaborative,75, false, 128, 128
1683222066190,user0062,user0061,Training Task 4,Design M,collaborative,80, false, null, null
1683222075089,user0061,user0062,Training Task 4,Design M,collaborative,100, false, 128, 128
1683222096251,user0060,user0059,Task Pennsylvania,Design M,collaborative,78, false, null, null
1683222097570,user0059,user0060,Task Washington,Design M,collaborative,96, false, 122, 122
1683222131713,user0062,user0061,Task New York,Design L,collaborative,81, false, null, null
1683222139388,user0061,user0062,Task Colorado,Design K,collaborative,96, true, 130, 106
1683222156470,user0062,user0061,Task Louisiana,Design L,collaborative,64, false, null, null
1683222157620,user0059,user0060,Task Colorado,Design L,collaborative,90, false, null, null
1683222163699,user0060,user0059,Task New York,Design L,collaborative,80, false, 106, 105
1683222177351,user0061,user0062,Task Alabama,Design L,collaborative,98, false, 105, 114
1683222193732,user0059,user0060,Task Alabama,Design L,collaborative,92, false, null, null
1683222194695,user0060,user0059,Task Louisiana,Design L,collaborative,82, false, 114, 105
1683222199104,user0062,user0061,Task Florida,Design K,collaborative,97, false, null, null
1683222213846,user0061,user0062,Task Florida,Design K,collaborative,100, true, 85, 85
1683222230257,user0060,user0059,Task Florida,Design K,collaborative,81, false, null, null
1683222230659,user0059,user0060,Task Florida,Design K,collaborative,85, false, 85, 85
1683222234746,user0062,user0061,Task Maryland,Design K,collaborative,86, false, null, null
1683222248292,user0061,user0062,Task Alaska,Design K,collaborative,99, true, 105, 100
1683222260927,user0060,user0059,Task Maryland,Design K,collaborative,100, false, null, null
1683222262330,user0059,user0060,Task Alaska,Design K,collaborative,85, false, 105, 100
1683222276087,user0062,user0061,Task Wyoming,Design Y,individual,97, false, null, null
1683222283497,user0061,user0062,Task Delaware,Design L,collaborative,99, true, 11, 50
1683222298829,user0060,user0059,Task Wyoming,Design M,collaborative,83, false, null, null
1683222298953,user0059,user0060,Task Delaware,Design M,collaborative,84, false, 106, 115
1683222301637,user0062,user0061,Task Oklahoma,Design M,collaborative,68, false, null, null
1683222319279,user0061,user0062,Task North Carolina,Design K,collaborative,100, true, 88, 106
1683222333872,user0060,user0059,Task Oklahoma,Design M,collaborative,85, false, null, null
1683222334246,user0059,user0060,Task North Carolina,Design M,collaborative,95, false, 114, 106
1683222339478,user0062,user0061,Task California,Design K,collaborative,83, false, null, null
1683222356918,user0061,user0062,Task Hawaii,Design L,collaborative,100, true, 100, 122
1683222368334,user0062,user0061,Task Texas,Design K,collaborative,55, false, null, null
1683222371361,user0059,user0060,Task Hawaii,Design L,collaborative,98, false, null, null
1683222372523,user0060,user0059,Task California,Design L,collaborative,98, true, 107, 100
1683222385423,user0061,user0062,Task Tennessee,Design Y,individual,100, true, 50, -68
1683222412307,user0060,user0059,Task Texas,Design K,collaborative,87, false, null, null
1683222416067,user0059,user0060,Task Tennessee,Design K,collaborative,98, false, 106, 100
1683222416966,user0062,user0061,Task Ohio,Design Y,individual,87, false, null, null
1683222429904,user0061,user0062,Task Kentucky,Design M,collaborative,100, true, -210, 50
1683222441148,user0060,user0059,Task Ohio,Design M,collaborative,86, false, null, null
1683222444237,user0059,user0060,Task Kentucky,Design M,collaborative,93, false, 114, 122
1683222460391,user0062,user0061,Task  Montana,Design Y,individual,55, false, null, null
1683222468303,user0061,user0062,Task  Montana,Design Y,individual,100, true, 15, 15
1683222481985,user0060,user0059,Task  Montana,Design L,collaborative,82, false, null, null
1683222483415,user0059,user0060,Task  Montana,Design L,collaborative,93, false, 60, 60
1683222487260,user0062,user0061,Task North Carolina,Design M,collaborative,61, false, null, null
1683222493253,user0061,user0062,Task Oklahoma,Design L,collaborative,99, true, 82, 114
1683222504641,user0060,user0059,Task North Carolina,Design M,collaborative,86, false, null, null
1683222506070,user0061,user0062,Task Maryland,Design K,collaborative,99, false, null, null
1683222506396,user0059,user0060,Task Oklahoma,Design M,collaborative,91, false, 106, 114
1683222510476,user0062,user0061,Task Alaska,Design M,collaborative,61, false, 130, 100
1683222522682,user0060,user0059,Task Alaska,Design M,collaborative,87, false, null, null
1683222526952,user0061,user0062,Task Texas,Design Y,individual,98, true, null, null
1683222527216,user0059,user0060,Task Maryland,Design M,collaborative,98, false, 72, 130
1683222529747,user0062,user0061,Task Tennessee,Design K,collaborative,55, false, -118, 50
1683222544684,user0060,user0059,Task Tennessee,Design K,collaborative,78, false, null, null
1683222547187,user0059,user0060,Task Texas,Design K,collaborative,95, false, 100, 106
1683222548025,user0062,user0061,Task Oregon,Design M,collaborative,61, false, null, null
1683222553596,user0061,user0062,Task New Jersey,Design K,collaborative,99, true, 107, 100
1683222564916,user0060,user0059,Task Oregon,Design L,collaborative,88, false, null, null
1683222568195,user0059,user0060,Task New Jersey,Design L,collaborative,95, false, 122, 88
1683222569214,user0061,user0062,Task Arizona,Design L,collaborative,99, false, null, null
1683222571637,user0062,user0061,Task Maine,Design K,collaborative,52, false, 106, 100
1683222581988,user0060,user0059,Task Maine,Design K,collaborative,82, false, null, null
1683222587281,user0062,user0061,Task Utah,Design Y,individual,47, false, null, null
1683222587490,user0059,user0060,Task Arizona,Design K,collaborative,100, false, 114, 106
1683222602782,user0061,user0062,Task Utah,Design L,collaborative,100, true, 5, 90
1683222613513,user0060,user0059,Task Utah,Design L,collaborative,80, false, null, null
1683222615430,user0061,user0062,Task New York,Design L,collaborative,100, false, null, null
1683222617070,user0062,user0061,Task Colorado,Design K,collaborative,97, false, 130, 106
1683222618457,user0059,user0060,Task Utah,Design L,collaborative,99, false, 80, 80
1683222628493,user0062,user0061,Task Delaware,Design M,collaborative,87, false, null, null
1683222629108,user0060,user0059,Task Colorado,Design K,collaborative,94, false, null, null
1683222633056,user0059,user0060,Task New York,Design K,collaborative,98, false, 82, 130
1683222645420,user0061,user0062,Task Wyoming,Design L,collaborative,100, true, 105, 106
1683222658151,user0060,user0059,Task Delaware,Design K,collaborative,84, false, null, null
1683222661036,user0059,user0060,Task Wyoming,Design K,collaborative,90, false, 130, 95
1683222663286,user0061,user0062,Task Wisconsin,Design M,collaborative,99, false, null, null
1683222664752,user0062,user0061,Task Nebraska,Design L,collaborative,63, false, 114, 100
1683222676251,user0060,user0059,Task Nebraska,Design L,collaborative,84, false, null, null
1683222677890,user0062,user0061,Task Virginia,Design L,collaborative,93, false, null, null
1683222682537,user0059,user0060,Task Wisconsin,Design L,collaborative,98, false, 88, 114
1683222683875,user0061,user0062,Task Illinois,Design K,collaborative,98, true, 72, 130
1683222695934,user0062,user0061,Task Illinois,Design M,collaborative,74, false, null, null
1683222697899,user0059,user0060,Task Illinois,Design M,collaborative,95, false, null, null
1683222698107,user0060,user0059,Task Virginia,Design M,collaborative,84, false, 105, 100
1683222704227,user0061,user0062,Task Virginia,Design K,collaborative,100, true, 115, 100
1683222715878,user0062,user0061,Task  Mississippi,Design Y,individual,33, false, null, null
1683222718977,user0060,user0059,Task Illinois,Design M,collaborative,82, false, null, null
1683222719950,user0059,user0060,Task Virginia,Design M,collaborative,97, false, 105, 100
1683222723121,user0061,user0062,Task  Mississippi,Design K,collaborative,100, false, 0, 70
1683222735371,user0060,user0059,Task  Mississippi,Design K,collaborative,87, false, null, null
1683222738439,user0059,user0060,Task  Mississippi,Design K,collaborative,97, false, 55, 55
1683222739330,user0062,user0061,Task Kansas,Design L,collaborative,70, false, null, null
1683222748449,user0061,user0062,Task Michigan,Design M,collaborative,100, false, 82, 122
1683222761737,user0062,user0061,Task Nevada,Design K,collaborative,96, false, null, null
1683222762218,user0061,user0062,Task Minnesota,Design K,collaborative,99, false, 72, 130
1683222766673,user0060,user0059,Task Kansas,Design L,collaborative,89, false, null, null
1683222767675,user0059,user0060,Task Michigan,Design L,collaborative,97, false, 106, 122
1683222777490,user0060,user0059,Task Nevada,Design K,collaborative,85, false, null, null
1683222779045,user0062,user0061,Task Minnesota,Design L,collaborative,87, false, null, null
1683222780081,user0059,user0060,Task Minnesota,Design K,collaborative,97, false, 72, 130
1683222787763,user0061,user0062,Task Nevada,Design L,collaborative,100, true, 105, 100
1683222800906,user0062,user0061,Task New Jersey,Design L,collaborative,68, false, null, null
1683222801379,user0061,user0062,Task Oregon,Design K,collaborative,100, false, 72, 122
1683222802070,user0060,user0059,Task Minnesota,Design K,collaborative,83, false, null, null
1683222802650,user0059,user0060,Task Nevada,Design K,collaborative,97, false, 130, 72
1683222813450,user0061,user0062,Task Pennsylvania,Design M,collaborative,98, false, null, null
1683222813794,user0062,user0061,Task Washington,Design M,collaborative,60, false, 122, 122
1683222819608,user0060,user0059,Task New Jersey,Design L,collaborative,88, false, null, null
1683222823849,user0059,user0060,Task Oregon,Design L,collaborative,96, false, 88, 122
1683222835456,user0062,user0061,Task Idoha,Design Y,individual,20, false, null, null
1683222839763,user0060,user0059,Task Washington,Design M,collaborative,75, false, null, null
1683222842192,user0059,user0060,Task Pennsylvania,Design M,collaborative,93, false, 122, 122
1683222842967,user0061,user0062,Task Idoha,Design M,collaborative,100, true, 15, 115
1683222855436,user0062,user0061,Task Wisconsin,Design K,collaborative,92, false, null, null
1683222861709,user0061,user0062,Task Nebraska,Design M,collaborative,99, true, 88, 114
1683222863464,user0059,user0060,Task Idoha,Design L,collaborative,92, false, null, null
1683222863697,user0060,user0059,Task Idoha,Design L,collaborative,92, false, 85, 85
1683222877251,user0062,user0061,Task Michigan,Design L,collaborative,60, false, null, null
1683222880176,user0059,user0060,Task Nebraska,Design L,collaborative,94, false, null, null
1683222881243,user0060,user0059,Task Wisconsin,Design L,collaborative,88, false, 88, 114
1683222888509,user0061,user0062,Task Kansas,Design M,collaborative,100, true, 96, 106
1683222898327,user0060,user0059,Task Michigan,Design L,collaborative,91, false, null, null
1683222899994,user0061,user0062,Task Louisiana,Design L,collaborative,100, false, null, null
1683222901940,user0062,user0061,Task Alabama,Design K,collaborative,53, false, 130, 114
1683222902930,user0059,user0060,Task Kansas,Design L,collaborative,97, false, 122, 106
1683222914298,user0062,user0061,Task Kentucky,Design M,collaborative,53, false, null, null
1683222919303,user0061,user0062,Task Ohio,Design Y,individual,99, true, 50, -210
1683222921108,user0060,user0059,Task Alabama,Design K,collaborative,81, false, null, null
1683222922323,user0059,user0060,Task Louisiana,Design K,collaborative,94, false, 88, 130
1683222933191,user0061,user0062,Task Massachusetts,Design L,collaborative,100, false, null, null
1683222933944,user0062,user0061,Task Michigan,Design L,collaborative,51, false, 106, 65
1683222935291,user0060,user0059,Task Kentucky,Design M,collaborative,88, false, null, null
1683222936851,user0059,user0060,Task Ohio,Design M,collaborative,97, false, 122, 114
1683222947283,user0060,user0059,Task Michigan,Design L,collaborative,82, false, null, null
1683222948024,user0062,user0061,Task Arizona,Design K,collaborative,52, false, null, null
1683222950155,user0059,user0060,Task Massachusetts,Design L,collaborative,97, false, 65, 106
1683222951567,user0061,user0062,Task Maine,Design Y,individual,100, true, 50, -142
1683222962554,user0062,user0061,Task Hawaii,Design L,collaborative,97, false, null, null
1683222964866,user0060,user0059,Task Arizona,Design K,collaborative,83, false, null, null
1683222969503,user0059,user0060,Task Maine,Design K,collaborative,98, false, 106, 114
1683222970091,user0061,user0062,Task California,Design M,collaborative,96, true, 96, 100
1683222980679,user0060,user0059,Task Hawaii,Design L,collaborative,86, false, null, null
1683222981707,user0062,user0061,Task Pennsylvania,Design M,collaborative,60, false, null, null
1683222982017,user0061,user0062,Task Washington,Design K,collaborative,99, false, 96, 122
1683222988740,user0059,user0060,Task California,Design L,collaborative,96, false, 107, 100
