timestamp,username,partner,task,design,strategy,collabBelief,usedRobot, score,partnerScore
1682623029498,user0037,user0038,Training Task 1,Design Y,individual,55, false, null, null
1682623033150,user0036,user0035,Training Task 1,Design M,collaborative,84, false, null, null
1682623050507,user0035,user0036,Training Task 1,Design K,collaborative,75, false, 92, 111
1682623066157,user0038,user0037,Training Task 1,Design L,collaborative,83, false, -15, 50
1682623091487,user0037,user0038,Training Task 2,Design M,collaborative,43, false, null, null
1682623092072,user0036,user0035,Training Task 2,Design M,collaborative,81, false, null, null
1682623101243,user0038,user0037,Training Task 2,Design L,collaborative,77, false, 68, 86
1682623113470,user0035,user0036,Training Task 2,Design M,collaborative,83, false, 86, 86
1682623144657,user0036,user0035,Training Task 3,Design M,collaborative,82, false, null, null
1682623148674,user0035,user0036,Training Task 3,Design M,collaborative,93, false, 48, 48
1682623154679,user0038,user0037,Training Task 3,Design Y,individual,0, false, null, null
1682623160330,user0037,user0038,Training Task 3,Design Y,individual,72, false, 19, 19
1682623176643,user0036,user0035,Training Task 4,Design M,collaborative,82, false, null, null
1682623184913,user0038,user0037,Training Task 4,Design Y,individual,26, false, null, null
1682623191189,user0035,user0036,Training Task 4,Design K,collaborative,75, false, 90, 128
1682623215520,user0037,user0038,Training Task 4,Design M,collaborative,63, false, -260, 50
1682623271090,user0035,user0036,Task Washington,Design K,collaborative,83, false, null, null
1682623284790,user0036,user0035,Task Pennsylvania,Design L,collaborative,80, false, 107, 96
1682623285439,user0038,user0037,Task New York,Design L,collaborative,50, false, null, null
1682623288011,user0037,user0038,Task Colorado,Design K,collaborative,82, false, 130, 106
1682623320042,user0035,user0036,Task Colorado,Design K,collaborative,100, false, null, null
1682623324635,user0036,user0035,Task New York,Design M,collaborative,81, false, 95, 130
1682623332390,user0038,user0037,Task Louisiana,Design K,collaborative,77, false, null, null
1682623335071,user0037,user0038,Task Alabama,Design K,collaborative,65, false, 130, 88
1682623382186,user0036,user0035,Task Louisiana,Design L,collaborative,81, false, null, null
1682623383696,user0035,user0036,Task Alabama,Design L,collaborative,100, false, 105, 114
1682623390679,user0037,user0038,Task Florida,Design K,collaborative,45, false, null, null
1682623392742,user0038,user0037,Task Florida,Design Y,individual,21, false, 100, 0
1682623436624,user0035,user0036,Task Florida,Design K,collaborative,100, false, null, null
1682623440069,user0036,user0035,Task Florida,Design K,collaborative,80, false, 85, 85
1682623443329,user0038,user0037,Task Maryland,Design Y,individual,8, false, null, null
1682623458995,user0037,user0038,Task Alaska,Design M,collaborative,46, false, -190, 50
1682623484182,user0036,user0035,Task Maryland,Design K,collaborative,82, false, null, null
1682623489195,user0035,user0036,Task Alaska,Design K,collaborative,100, false, 105, 100
1682623507291,user0037,user0038,Task Delaware,Design M,collaborative,68, false, null, null
1682623508563,user0038,user0037,Task Wyoming,Design K,collaborative,84, false, 130, 106
1682623532494,user0036,user0035,Task Wyoming,Design K,collaborative,82, false, null, null
1682623534972,user0035,user0036,Task Delaware,Design K,collaborative,100, false, 95, 130
1682623542011,user0037,user0038,Task North Carolina,Design M,collaborative,67, false, null, null
1682623542745,user0038,user0037,Task Oklahoma,Design L,collaborative,76, false, 82, 114
1682623562348,user0035,user0036,Task North Carolina,Design M,collaborative,100, false, null, null
1682623563801,user0036,user0035,Task Oklahoma,Design M,collaborative,80, false, 106, 114
1682623583778,user0037,user0038,Task Hawaii,Design M,collaborative,51, false, null, null
1682623589230,user0038,user0037,Task California,Design Y,individual,67, false, 50, 17
1682623619881,user0035,user0036,Task Hawaii,Design L,collaborative,100, false, null, null
1682623620759,user0036,user0035,Task California,Design K,collaborative,82, false, 122, 100
1682623641206,user0038,user0037,Task Texas,Design L,collaborative,50, false, null, null
1682623642267,user0037,user0038,Task Tennessee,Design K,collaborative,53, false, 106, 72
1682623668054,user0035,user0036,Task Tennessee,Design K,collaborative,100, false, null, null
1682623668850,user0036,user0035,Task Texas,Design K,collaborative,81, false, 100, 106
1682623687506,user0038,user0037,Task Ohio,Design M,collaborative,50, false, null, null
1682623688000,user0037,user0038,Task Kentucky,Design M,collaborative,42, false, 114, 122
1682623706455,user0035,user0036,Task Kentucky,Design M,collaborative,100, false, null, null
1682623710802,user0036,user0035,Task Ohio,Design M,collaborative,81, false, 122, 114
1682623713613,user0038,user0037,Task  Montana,Design Y,individual,50, false, null, null
1682623714872,user0037,user0038,Task  Montana,Design Y,individual,37, false, 15, 15
1682623738977,user0036,user0035,Task  Montana,Design L,collaborative,80, false, null, null
1682623741344,user0037,user0038,Task Oklahoma,Design M,collaborative,55, false, null, null
1682623741986,user0038,user0037,Task North Carolina,Design M,collaborative,50, false, 114, 106
1682623751012,user0035,user0036,Task  Montana,Design L,collaborative,100, false, 60, 60
1682623770821,user0035,user0036,Task Oklahoma,Design M,collaborative,100, false, null, null
1682623772001,user0036,user0035,Task North Carolina,Design M,collaborative,82, false, 114, 106
1682623774830,user0037,user0038,Task Maryland,Design K,collaborative,70, false, null, null
1682623779336,user0038,user0037,Task Alaska,Design M,collaborative,50, false, 130, 100
1682623803610,user0038,user0037,Task Tennessee,Design K,collaborative,50, false, null, null
1682623804387,user0036,user0035,Task Alaska,Design M,collaborative,80, false, null, null
1682623806394,user0037,user0038,Task Texas,Design K,collaborative,54, false, 100, 106
1682623806759,user0035,user0036,Task Maryland,Design K,collaborative,99, false, 100, 130
1682623820937,user0036,user0035,Task Tennessee,Design K,collaborative,80, false, null, null
1682623824663,user0035,user0036,Task Texas,Design K,collaborative,100, false, 100, 106
1682623847621,user0038,user0037,Task Oregon,Design M,collaborative,50, false, null, null
1682623850393,user0037,user0038,Task New Jersey,Design L,collaborative,55, false, 122, 100
1682623864712,user0036,user0035,Task Oregon,Design M,collaborative,81, false, null, null
1682623877958,user0035,user0036,Task New Jersey,Design L,collaborative,100, false, 122, 100
1682623879939,user0038,user0037,Task Maine,Design K,collaborative,50, false, null, null
1682623880680,user0037,user0038,Task Arizona,Design K,collaborative,60, false, 114, 106
1682623901503,user0035,user0036,Task Arizona,Design K,collaborative,100, false, null, null
1682623903942,user0036,user0035,Task Maine,Design K,collaborative,81, false, 106, 114
1682623909341,user0037,user0038,Task Utah,Design M,collaborative,42, false, null, null
1682623919602,user0038,user0037,Task Utah,Design Y,individual,50, false, 90, 20
1682623940775,user0036,user0035,Task Utah,Design Y,individual,2, false, null, null
1682623942288,user0035,user0036,Task Utah,Design Y,individual,0, false, 17, 17
1682623961039,user0038,user0037,Task Colorado,Design K,collaborative,50, false, null, null
1682623970197,user0037,user0038,Task New York,Design L,collaborative,56, false, 106, 130
1682623994703,user0037,user0038,Task Wyoming,Design K,collaborative,59, false, null, null
1682623995711,user0038,user0037,Task Delaware,Design M,collaborative,50, false, 106, 130
1682624007573,user0035,user0036,Task New York,Design L,collaborative,100, false, null, null
1682624007620,user0036,user0035,Task Colorado,Design K,collaborative,88, false, 130, 106
1682624025760,user0036,user0035,Task Delaware,Design M,collaborative,80, false, null, null
1682624027451,user0035,user0036,Task Wyoming,Design K,collaborative,100, false, 130, 106
1682624030120,user0038,user0037,Task Nebraska,Design L,collaborative,50, false, null, null
1682624046904,user0037,user0038,Task Wisconsin,Design K,collaborative,45, false, 114, 114
1682624063328,user0035,user0036,Task Wisconsin,Design K,collaborative,100, false, null, null
1682624063452,user0036,user0035,Task Nebraska,Design L,collaborative,81, false, 114, 114
1682624064757,user0038,user0037,Task Virginia,Design L,collaborative,64, false, null, null
1682624066398,user0037,user0038,Task Illinois,Design M,collaborative,61, false, 100, 130
1682624077487,user0037,user0038,Task Virginia,Design L,collaborative,55, false, null, null
