timestamp,username,partner,task,design,strategy,collabBelief,usedRobot, score,partnerScore
1682353337712,user0021,user0022,Training Task 1,Design M,collaborative,89, false, null, null
1682353338148,user0022,user0021,Training Task 1,Design M,collaborative,60, false, 111, 111
1682353350618,user0020,user0019,Training Task 1,Design M,collaborative,65, true, null, null
1682353363688,user0019,user0020,Training Task 1,Design M,collaborative,90, true, 111, 111
1682353391534,user0020,user0019,Training Task 2,Design K,collaborative,70, false, null, null
1682353401358,user0022,user0021,Training Task 2,Design K,collaborative,75, false, null, null
1682353406209,user0021,user0022,Training Task 2,Design K,collaborative,96, false, 95, 95
1682353408270,user0019,user0020,Training Task 2,Design K,collaborative,98, true, 95, 95
1682353427306,user0020,user0019,Training Task 3,Design Y,individual,68, false, null, null
1682353433551,user0022,user0021,Training Task 3,Design L,collaborative,72, false, null, null
1682353433559,user0021,user0022,Training Task 3,Design L,collaborative,95, false, 68, 68
1682353503099,user0019,user0020,Training Task 3,Design L,collaborative,99, true, 3, 83
1682353529658,user0022,user0021,Training Task 4,Design M,collaborative,71, false, null, null
1682353532459,user0021,user0022,Training Task 4,Design M,collaborative,92, false, 128, 128
1682353538400,user0020,user0019,Training Task 4,Design M,collaborative,64, false, null, null
1682353552178,user0019,user0020,Training Task 4,Design M,collaborative,100, true, 128, 128
1682353580443,user0020,user0019,Task Pennsylvania,Design M,collaborative,71, false, null, null
1682353582748,user0022,user0021,Task New York,Design L,collaborative,69, false, null, null
1682353587650,user0019,user0020,Task Washington,Design M,collaborative,100, true, 122, 122
1682353608873,user0021,user0022,Task Colorado,Design K,collaborative,97, false, 130, 106
1682353624447,user0020,user0019,Task New York,Design L,collaborative,66, false, null, null
1682353627486,user0021,user0022,Task Alabama,Design K,collaborative,97, false, null, null
1682353631753,user0022,user0021,Task Louisiana,Design L,collaborative,59, false, 114, 130
1682353639867,user0019,user0020,Task Colorado,Design K,collaborative,100, true, 130, 106
1682353657808,user0020,user0019,Task Louisiana,Design L,collaborative,73, false, null, null
1682353673366,user0019,user0020,Task Alabama,Design K,collaborative,100, false, 130, 114
1682353684798,user0021,user0022,Task Florida,Design K,collaborative,95, false, null, null
1682353690707,user0022,user0021,Task Florida,Design K,collaborative,64, false, 85, 85
1682353709126,user0021,user0022,Task Alaska,Design M,collaborative,95, false, null, null
1682353721101,user0022,user0021,Task Maryland,Design K,collaborative,63, false, 100, 130
1682353739217,user0019,user0020,Task Florida,Design K,collaborative,82, false, null, null
1682353739378,user0020,user0019,Task Florida,Design K,collaborative,71, false, 85, 85
1682353757682,user0020,user0019,Task Maryland,Design K,collaborative,65, false, null, null
1682353767203,user0021,user0022,Task Delaware,Design M,collaborative,95, false, null, null
1682353776826,user0019,user0020,Task Alaska,Design K,collaborative,97, false, 105, 100
1682353804863,user0022,user0021,Task Wyoming,Design K,collaborative,64, false, 130, 106
1682353818830,user0020,user0019,Task Wyoming,Design K,collaborative,61, false, null, null
1682353828609,user0022,user0021,Task Oklahoma,Design M,collaborative,58, false, null, null
1682353832448,user0021,user0022,Task North Carolina,Design M,collaborative,96, false, 114, 106
1682353850112,user0019,user0020,Task Delaware,Design M,collaborative,88, false, 106, 130
1682353878706,user0021,user0022,Task Hawaii,Design L,collaborative,96, false, null, null
1682353888597,user0022,user0021,Task California,Design K,collaborative,64, false, 122, 100
1682353896776,user0019,user0020,Task North Carolina,Design M,collaborative,94, false, null, null
1682353903380,user0020,user0019,Task Oklahoma,Design M,collaborative,68, false, 106, 114
1682353920577,user0022,user0021,Task Texas,Design K,collaborative,61, false, null, null
