timestamp,username,partner,task,design,strategy,collabBelief,usedRobot, score,partnerScore
1682444826862,user0027,user0028,Training Task 1,Design M,collaborative,64, false, null, null
1682444879981,user0028,user0027,Training Task 1,Design L,collaborative,37, false, 77, 111
1682444886139,user0030,user0029,Training Task 1,Design Y,individual,50, false, null, null
1682444891248,user0029,user0030,Training Task 1,Design K,collaborative,50, false, -45, 50
1682444905712,user0027,user0028,Task Washington,Design L,collaborative,64, false, null, null
1682444912376,user0028,user0027,Task Pennsylvania,Design Y,individual,94, false, 50, -36
1682444919509,user0029,user0030,Task Colorado,Design M,collaborative,59, false, null, null
1682444924236,user0030,user0029,Task New York,Design Y,individual,17, false, 50, -27
1682444936306,user0027,user0028,Task Colorado,Design K,collaborative,100, false, null, null
1682444941239,user0030,user0029,Task Louisiana,Design K,collaborative,50, false, null, null
1682444945755,user0028,user0027,Task New York,Design L,collaborative,50, false, 106, 130
1682444950855,user0029,user0030,Task Alabama,Design L,collaborative,50, false, 105, 88
