timestamp,username,partner,task,design,strategy,collabBelief,score,partnerScore
1681320008925,user002,user001,Training Task 1,Design M,collaborative,89, null, null
1681320011818,user001,user002,Training Task 1,Design M,collaborative,77, 111, 111
1681320052286,user002,user001,Training Task 2,Design K,collaborative,94, null, null
1681320055220,user001,user002,Training Task 2,Design K,collaborative,74, 95, 95
1681320086707,user002,user001,Training Task 3,Design Y,individual,27, null, null
1681320088208,user001,user002,Training Task 3,Design Y,individual,0, 19, 19
1681320116319,user002,user001,Training Task 4,Design M,collaborative,91, null, null
1681320131080,user001,user002,Training Task 4,Design M,collaborative,80, 128, 128
1681320191521,user002,user001,Task Pennsylvania,Design M,collaborative,94, null, null
1681320193450,user001,user002,Task Washington,Design M,collaborative,95, 122, 122
1681320234324,user002,user001,Task New York,Design L,collaborative,91, null, null
1681320238163,user001,user002,Task Colorado,Design K,collaborative,92, 130, 106
1681320262700,user002,user001,Task Louisiana,Design L,collaborative,83, null, null
1681320263391,user001,user002,Task Alabama,Design K,collaborative,91, 130, 114
1681320280073,user002,user001,Task Florida,Design Y,individual,13, null, null
1681320284140,user001,user002,Task Florida,Design Y,individual,0, 20, 20
1681320301300,user002,user001,Task Maryland,Design K,collaborative,92, null, null
1681320303005,user001,user002,Task Alaska,Design M,collaborative,89, 130, 100
1681320332088,user002,user001,Task Wyoming,Design Y,individual,50, null, null
1681320341830,user001,user002,Task Delaware,Design Y,individual,0, 50, 50
1681320362006,user001,user002,Task North Carolina,Design M,collaborative,89, null, null
1681320364300,user002,user001,Task Oklahoma,Design M,collaborative,88, 106, 114
1681320401644,user002,user001,Task California,Design K,collaborative,31, null, null
1681320418424,user001,user002,Task Hawaii,Design L,collaborative,95, 100, 122
1681320468877,user002,user001,Task Texas,Design Y,individual,21, null, null
1681320489275,user001,user002,Task Tennessee,Design Y,individual,0, 50, 50
1681320506898,user002,user001,Task Ohio,Design Y,individual,13, null, null
1681320570239,user001,user002,Task Kentucky,Design Y,individual,0, 50, 50
1681320585533,user002,user001,Task  Montana,Design Y,individual,20, null, null
1681320749401,user001,user002,Task  Montana,Design Y,individual,0, 15, 15
1681320773816,user001,user002,Task Oklahoma,Design M,collaborative,100, null, null
1681320774659,user002,user001,Task North Carolina,Design M,collaborative,93, 114, 106
1681320791115,user002,user001,Task Alaska,Design M,collaborative,92, null, null
1681320793301,user001,user002,Task Maryland,Design K,collaborative,93, 100, 130
1681320809425,user002,user001,Task Tennessee,Design K,collaborative,96, null, null
1681320811358,user001,user002,Task Texas,Design K,collaborative,93, 100, 106
1681320825902,user002,user001,Task Oregon,Design M,collaborative,94, null, null
1681320841944,user001,user002,Task New Jersey,Design L,collaborative,94, 122, 100
1681320871144,user002,user001,Task Maine,Design K,collaborative,92, null, null
1681320877029,user001,user002,Task Arizona,Design K,collaborative,96, 114, 106
1681321027480,user002,user001,Task Utah,Design L,collaborative,91, null, null
1681321035807,user001,user002,Task Utah,Design L,collaborative,94, 80, 80
1681321068330,user002,user001,Task Colorado,Design K,collaborative,100, null, null
1681321083225,user001,user002,Task New York,Design K,collaborative,91, 82, 130
1681321103968,user002,user001,Task Delaware,Design Y,individual,90, null, null
1681321109225,user001,user002,Task Wyoming,Design Y,individual,0, 50, 50
1681321123956,user002,user001,Task Nebraska,Design Y,individual,34, null, null
1681321129310,user001,user002,Task Wisconsin,Design Y,individual,0, 50, 50
1681321168741,user002,user001,Task Virginia,Design Y,individual,89, null, null
1681321172844,user001,user002,Task Illinois,Design Y,individual,0, 50, 50
1681321235027,user002,user001,Task Illinois,Design Y,individual,87, null, null
1681321241499,user001,user002,Task Virginia,Design Y,individual,0, 50, 50
1681321393307,user002,user001,Task  Mississippi,Design Y,individual,91, null, null
1681321417241,user001,user002,Task  Mississippi,Design Y,individual,84, 14, 14
1681321467224,user002,user001,Task Kansas,Design L,collaborative,92, null, null
1681321476508,user001,user002,Task Michigan,Design Y,individual,84, 50, -170
1681321511556,user002,user001,Task Nevada,Design K,collaborative,84, null, null
1681321513260,user001,user002,Task Minnesota,Design Y,individual,90, 50, -140
1681321592530,user002,user001,Task Minnesota,Design Y,individual,90, null, null
1681321600723,user001,user002,Task Nevada,Design Y,individual,13, 50, 50
1681321620124,user002,user001,Task New Jersey,Design L,collaborative,85, null, null
1681321625895,user001,user002,Task Oregon,Design Y,individual,85, 50, -120
1681321642967,user002,user001,Task Washington,Design Y,individual,29, null, null
1681321650262,user001,user002,Task Pennsylvania,Design Y,individual,7, 50, 50
1681321714722,user002,user001,Task Idoha,Design Y,individual,89, null, null
1681321716646,user001,user002,Task Idoha,Design Y,individual,92, 25, 25
1681321733487,user002,user001,Task Wisconsin,Design K,collaborative,100, null, null
1681321747781,user001,user002,Task Nebraska,Design Y,individual,91, 50, -46
1681321768460,user001,user002,Task Kansas,Design Y,individual,4, null, null
1681321769404,user002,user001,Task Michigan,Design Y,individual,29, 50, 50
1681321783772,user002,user001,Task Alabama,Design Y,individual,6, null, null
1681321791706,user001,user002,Task Louisiana,Design Y,individual,9, 50, 50
1681321804886,user002,user001,Task Kentucky,Design Y,individual,26, null, null
1681321808589,user001,user002,Task Ohio,Design Y,individual,1, 50, 50
1681321837054,user002,user001,Task Michigan,Design Y,individual,87, null, null
1681321841603,user001,user002,Task Massachusetts,Design Y,individual,100, 16, 50
1681321866545,user002,user001,Task Arizona,Design Y,individual,17, null, null
1681321868869,user001,user002,Task Maine,Design Y,individual,0, 50, 50
1681321935770,user002,user001,Task Hawaii,Design Y,individual,90, null, null
1681321940637,user001,user002,Task California,Design Y,individual,3, 50, 50
